,Week,Interest,Country,Crypto
10405,2024-05-05,2,USA,Dogecoin
10406,2024-05-12,5,USA,Dogecoin
10407,2024-05-19,4,USA,Dogecoin
10408,2024-05-26,2,USA,Dogecoin
10409,2024-06-02,2,USA,Dogecoin
10410,2024-06-09,1,USA,Dogecoin
10411,2024-06-16,1,USA,Dogecoin
10412,2024-06-23,1,USA,Dogecoin
10413,2024-06-30,1,USA,Dogecoin
10414,2024-07-07,1,USA,Dogecoin
10415,2024-07-14,1,USA,Dogecoin
10416,2024-07-21,1,USA,Dogecoin
10417,2024-07-28,1,USA,Dogecoin
10418,2024-08-04,1,USA,Dogecoin
10419,2024-08-11,1,USA,Dogecoin
10420,2024-08-18,1,USA,Dogecoin
10421,2024-08-25,1,USA,Dogecoin
10422,2024-09-01,1,USA,Dogecoin
10423,2024-09-08,1,USA,Dogecoin
10424,2024-09-15,1,USA,Dogecoin
10425,2024-09-22,1,USA,Dogecoin
10426,2024-09-29,1,USA,Dogecoin
10427,2024-10-06,1,USA,Dogecoin
10428,2024-10-13,2,USA,Dogecoin
10429,2024-10-20,1,USA,Dogecoin
10430,2024-10-27,3,USA,Dogecoin
10431,2024-11-03,5,USA,Dogecoin
10432,2024-11-10,32,USA,Dogecoin
10433,2024-11-17,15,USA,Dogecoin
10434,2024-11-24,11,USA,Dogecoin
10435,2024-12-01,12,USA,Dogecoin
10436,2024-12-08,9,USA,Dogecoin
10437,2024-12-15,7,USA,Dogecoin
10438,2024-12-22,5,USA,Dogecoin
10439,2024-12-29,6,USA,Dogecoin
10440,2025-01-05,5,USA,Dogecoin
10441,2025-01-12,5,USA,Dogecoin
10442,2025-01-19,11,USA,Dogecoin
10443,2025-01-26,7,USA,Dogecoin
10444,2025-02-02,22,USA,Dogecoin
10445,2025-02-09,25,USA,Dogecoin
10446,2025-02-16,35,USA,Dogecoin
10447,2025-02-23,24,USA,Dogecoin
10448,2025-03-02,11,USA,Dogecoin
10449,2025-03-09,6,USA,Dogecoin
10450,2025-03-16,3,USA,Dogecoin
10451,2025-03-23,3,USA,Dogecoin
10452,2025-03-30,3,USA,Dogecoin
10453,2025-04-06,3,USA,Dogecoin
10454,2025-04-13,2,USA,Dogecoin
10455,2025-04-20,2,USA,Dogecoin
10456,2025-04-27,1,USA,Dogecoin
