Price,Open,High,Low,Close,Volume
Ticker,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
Date,,,,,
15/08/2022,0.081698,0.088638999,0.067535996,0.069448002,6344361233
22/08/2022,0.069440998,0.071579002,0.061786,0.061786,2900648767
29/08/2022,0.061753001,0.064407997,0.060194001,0.063225999,2103074938
05/09/2022,0.06323,0.065241002,0.057944,0.063713998,2525117741
12/09/2022,0.063715003,0.065194003,0.057238001,0.057519998,2264026938
19/09/2022,0.057519,0.067973003,0.05618,0.061152,3285759014
26/09/2022,0.061167002,0.062931001,0.058754001,0.059287999,2082843001
03/10/2022,0.059287,0.066618003,0.059078,0.062155999,2644030716
10/10/2022,0.062151,0.062469002,0.055741001,0.058913998,1803246151
17/10/2022,0.058913,0.060773,0.057418,0.060346998,1508925844
24/10/2022,0.060341001,0.149391994,0.058858,0.117802002,27950637023
31/10/2022,0.117752001,0.157203004,0.113633998,0.114606,27118997219
07/11/2022,0.114625998,0.118577003,0.072108999,0.084893003,14210688610
14/11/2022,0.084926002,0.090774,0.077042997,0.077174,4110422154
21/11/2022,0.077174999,0.106432997,0.072403997,0.098711997,5996337581
28/11/2022,0.098676004,0.108942002,0.091449,0.104286,7175640005
05/12/2022,0.104252003,0.111011997,0.092667997,0.092874996,3667314223
12/12/2022,0.092872001,0.094379999,0.075387999,0.078640997,3929711972
19/12/2022,0.078648001,0.079342,0.070913002,0.075952001,2950561120
26/12/2022,0.075965002,0.076361001,0.066953003,0.070225,2215399676
02/01/2023,0.070225,0.075026996,0.069357999,0.073601,2184142472
09/01/2023,0.073592,0.091870002,0.073257998,0.086130999,4625004301
16/01/2023,0.086126998,0.092891999,0.080132,0.088303998,4291063968
23/01/2023,0.088310003,0.092969,0.082446001,0.090232998,3688420262
30/01/2023,0.090221003,0.099529997,0.085399002,0.092095003,6590778256
06/02/2023,0.092104003,0.093138002,0.080172002,0.082144,3492442909
13/02/2023,0.082144,0.091261998,0.079977997,0.086966,4226599440
20/02/2023,0.086994,0.088707,0.079057999,0.082202002,3033416184
27/02/2023,0.082202002,0.082735002,0.073100001,0.074795,2171142176
06/03/2023,0.074790001,0.075829998,0.063023001,0.071001001,2729735924
13/03/2023,0.071000002,0.078763999,0.068140998,0.074813001,3386230464
20/03/2023,0.074807003,0.078933999,0.070862003,0.074417002,3283623218
27/03/2023,0.074426003,0.085279003,0.071755998,0.079089001,3749134343
03/04/2023,0.079086997,0.102640003,0.076632001,0.083290003,11354894674
10/04/2023,0.083296999,0.091514997,0.081318997,0.090471998,4363555102
17/04/2023,0.090481997,0.094595,0.077436998,0.078819998,7044344535
24/04/2023,0.078818999,0.083371997,0.076150998,0.079769,2687222511
01/05/2023,0.07976,0.081292003,0.076439001,0.076710001,2004863111
