Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Kuwait,KWT,"Population, total",SP.POP.TOTL,4400267,4360865,4589643,4853420,4973861
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,25236.0755520534,34018.6342879647,39981.7690981957,34075.8490439847,32213.8622292316
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6726596,6851224,6975220,7099750,7224614
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1229.51766602907,1349.99730650542,1739.72018344174,2138.22210211478,2419.26553574523
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7346533,7453194,7559007,7664993,7769819
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2583.77730696131,2526.05105018529,2046.40440255621,2066.94979776957,2123.97909411797
Latvia,LVA,"Population, total",SP.POP.TOTL,1900449,1884490,1879383,1877445,1862441
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17564.2321549354,20261.8887788916,20227.2307431581,22675.5786295407,23367.5986788961
Lebanon,LBN,"Population, total",SP.POP.TOTL,5702398,5718122,5744489,5773493,5805962
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,5561.19166950397,4045.37391066234,3654.35845534878,3477.72489842684,..
Lesotho,LSO,"Population, total",SP.POP.TOTL,2235727,2261542,2286110,2311472,2337423
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,918.582577421982,1066.58643600093,1030.12579628833,916.282970463888,971.814620468788
Liberia,LBR,"Population, total",SP.POP.TOTL,5149463,5259323,5373294,5493031,5612817
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,616.787867006715,667.96610514319,744.617175237387,799.194470229642,846.277368387389
Libya,LBY,"Population, total",SP.POP.TOTL,7045399,7135175,7223805,7305659,7381023
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,6650.33810585348,4935.82787349801,5986.63694851258,6172.81246940233,6318.40314031017
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38901,39182,39493,39850,40197
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,164671.093553454,201944.830335076,186821.881757157,207973.617746758,..
